scheduler,rate,metric,rho,p,p_holm
adaptive_batch,3000.0,coeff_variation,-0.05454545454545454,0.8810361811618526,1.0
adaptive_batch,3000.0,mean_cpu_pct,0.2606060606060606,0.46708905438634024,1.0
adaptive_batch,3000.0,peak_cpu_pct,0.7051704306688749,0.022737736615376845,1.0
adaptive_batch,3000.0,mean_memory_gb,0.07878787878787878,0.8287173946974606,1.0
adaptive_batch,3000.0,mean_buffer_occupancy_pct,0.07878787878787878,0.8287173946974606,1.0
adaptive_batch,3000.0,mean_batch_size,0.10303030303030303,0.7769984634438898,1.0
fixed,250.0,mean_throughput_proofs_s,-0.32121212121212117,0.36546831043867045,1.0
fixed,250.0,mean_latency_ms,0.24848484848484845,0.4887763045192432,1.0
fixed,250.0,median_latency_ms,0.33333333333333326,0.3465935070873343,1.0
fixed,250.0,p95_latency_ms,0.6727272727272726,0.03304122254543772,1.0
fixed,250.0,p99_latency_ms,0.17575757575757575,0.6271883447764846,1.0
fixed,250.0,coeff_variation,0.10303030303030303,0.7769984634438898,1.0
fixed,250.0,mean_cpu_pct,0.05454545454545454,0.8810361811618526,1.0
fixed,250.0,peak_cpu_pct,0.2201927530252721,0.5410105897949292,1.0
fixed,250.0,mean_memory_gb,-0.24848484848484845,0.4887763045192432,1.0
fixed,250.0,mean_buffer_occupancy_pct,-0.24848484848484845,0.4887763045192432,1.0
fixed,250.0,mean_batch_size,0.03647433262080388,0.9203184602756677,1.0
fixed,500.0,mean_throughput_proofs_s,-0.19999999999999998,0.5795840000000002,1.0
fixed,500.0,mean_latency_ms,0.29696969696969694,0.40470167127015705,1.0
fixed,500.0,median_latency_ms,0.3939393939393939,0.25999776683488757,1.0
fixed,500.0,p95_latency_ms,0.4545454545454545,0.18690481034933196,1.0
fixed,500.0,p99_latency_ms,0.32121212121212117,0.36546831043867045,1.0
fixed,500.0,coeff_variation,-0.17575757575757575,0.6271883447764846,1.0
fixed,500.0,mean_cpu_pct,-0.0303030303030303,0.9337729580941466,1.0
fixed,500.0,peak_cpu_pct,0.024316221747202584,0.9468397049085097,1.0
fixed,500.0,mean_memory_gb,0.2727272727272727,0.4458383415427516,1.0
fixed,500.0,mean_buffer_occupancy_pct,0.2727272727272727,0.4458383415427516,1.0
fixed,500.0,mean_batch_size,0.1533857797849622,0.6722519084711701,1.0
fixed,1000.0,mean_throughput_proofs_s,-0.11515151515151514,0.7514196523258485,1.0
fixed,1000.0,mean_latency_ms,0.2606060606060606,0.46708905438634024,1.0
fixed,1000.0,median_latency_ms,0.43030303030303024,0.21449233253280775,1.0
fixed,1000.0,p95_latency_ms,0.4545454545454545,0.18690481034933196,1.0
fixed,1000.0,p99_latency_ms,-0.04242424242424241,0.9073638178128159,1.0
fixed,1000.0,coeff_variation,0.006060606060606061,0.9867429111949892,1.0
fixed,1000.0,mean_cpu_pct,0.11515151515151514,0.7514196523258485,1.0
fixed,1000.0,peak_cpu_pct,0.34545454545454546,0.3282265114713672,1.0
fixed,1000.0,mean_memory_gb,0.41818181818181815,0.22911284098281892,1.0
fixed,1000.0,mean_buffer_occupancy_pct,0.41818181818181815,0.22911284098281892,1.0
fixed,1000.0,mean_batch_size,0.20111222724172675,0.5774329385300534,1.0
fixed,1500.0,mean_throughput_proofs_s,-0.08643457510060755,0.8123306182008212,1.0
fixed,1500.0,mean_latency_ms,0.19999999999999998,0.5795840000000002,1.0
fixed,1500.0,median_latency_ms,0.16363636363636364,0.6514773427962428,1.0
